candidate_id,problem,kind,status,path_count,unique_path_feature_rows,prediction_mean,prediction_std,prediction_min,prediction_max,unique_leaf_rows,unique_leaf_ids,out_of_range_fraction
t70_01_Prob004_adder_8bit_first_raw,Prob004_adder_8bit,first_raw,no_clock_split,0,0,,,,,0,0,
t70_02_Prob004_adder_8bit_first_synthesized,Prob004_adder_8bit,first_synthesized,no_clock_split,0,0,,,,,0,0,
t70_03_Prob004_adder_8bit_last_synthesized,Prob004_adder_8bit,last_synthesized,no_clock_split,0,0,,,,,0,0,
t70_04_Prob015_multi_pipe_8bit_first_raw,Prob015_multi_pipe_8bit,first_raw,evaluated,51,18,0.32617708702892356,0.23319605215738254,0.150440666195229,0.7703437499999999,14,161,0.20588235294117646
t70_05_Prob015_multi_pipe_8bit_last_synthesized,Prob015_multi_pipe_8bit,last_synthesized,evaluated,35,17,0.4065137365528983,0.24221469214175595,0.150440666195229,0.7703437499999999,14,161,0.24285714285714285
t70_06_Prob024_fsm_first_raw,Prob024_fsm,first_raw,evaluated,3,2,0.3135462424258109,0.0394296384348926,0.2577843129917184,0.34142720714285724,2,47,0.125
t70_07_Prob024_fsm_first_synthesized,Prob024_fsm,first_synthesized,evaluated,3,2,0.32561664920634925,0.02235950546249517,0.2939955333333333,0.34142720714285724,2,47,0.125
t70_08_Prob024_fsm_last_synthesized,Prob024_fsm,last_synthesized,evaluated,3,2,0.32561664920634925,0.02235950546249517,0.2939955333333333,0.34142720714285724,2,47,0.125
t70_09_Prob037_parallel2serial_first_raw,Prob037_parallel2serial,first_raw,evaluated,6,3,0.15255733480416475,0.004733014895420248,0.150440666195229,0.16314067784884348,2,25,0.125
t70_10_Prob037_parallel2serial_first_synthesized,Prob037_parallel2serial,first_synthesized,evaluated,6,4,0.1542257056353227,0.005408877870576426,0.150440666195229,0.16314067784884348,3,25,0.125
t70_11_Prob037_parallel2serial_last_synthesized,Prob037_parallel2serial,last_synthesized,evaluated,6,3,0.15255733480416475,0.004733014895420248,0.150440666195229,0.16314067784884348,2,25,0.125
t70_12_Prob041_traffic_light_first_raw,Prob041_traffic_light,first_raw,evaluated,19,10,0.3869836987242677,0.1841108297427472,0.19013859967923225,0.6691450952380953,10,160,0.23026315789473684
t70_13_Prob041_traffic_light_first_synthesized,Prob041_traffic_light,first_synthesized,evaluated,10,7,0.5637116677697304,0.04099751678882777,0.507467198132423,0.6724305166666668,7,116,0.125
t70_14_Prob041_traffic_light_last_synthesized,Prob041_traffic_light,last_synthesized,evaluated,10,9,0.4296311667676768,0.13456620170066835,0.2410431619047619,0.5638476000000002,9,173,0.125
t70_15_Prob045_alu_first_raw,Prob045_alu,first_raw,no_clock_split,0,0,,,,,0,0,
t70_16_Prob045_alu_first_synthesized,Prob045_alu,first_synthesized,no_clock_split,0,0,,,,,0,0,
t70_17_Prob045_alu_last_synthesized,Prob045_alu,last_synthesized,no_clock_split,0,0,,,,,0,0,
t70_18_Prob049_signal_generator_first_raw,Prob049_signal_generator,first_raw,evaluated,7,6,0.35707212508422803,0.08987577940284663,0.19013859967923225,0.43933096666666666,6,106,0.16071428571428573
t70_19_Prob049_signal_generator_last_synthesized,Prob049_signal_generator,last_synthesized,evaluated,7,6,0.42968729560455754,0.17344714797742872,0.12487930288600284,0.567181,5,109,0.16071428571428573
