method,method_label,problem,valid_ppa_count,ppa_front_count,reference_beating_count,best_score,min_area,min_power,min_eff_clk_period
classic_revolution,Classic,Prob045_alu,16,4,16,0.397675,1776.000000,0.000952,0.000000
classic_revolution,Classic,Prob041_traffic_light,30,6,26,0.414309,114.000000,0.000275,0.000000
classic_revolution,Classic,Prob015_multi_pipe_8bit,20,14,1,0.212917,600.000000,0.036300,0.560000
landing_smooth_qd_manual_bd,Manual BD,Prob045_alu,22,1,22,0.401828,1749.000000,0.000963,0.000000
landing_smooth_qd_manual_bd,Manual BD,Prob041_traffic_light,26,6,22,0.433294,109.000000,0.000258,0.000000
landing_smooth_qd_manual_bd,Manual BD,Prob015_multi_pipe_8bit,15,5,0,0.057154,600.000000,0.086400,0.830000
random_descriptor_qd,Random,Prob045_alu,14,1,14,0.403452,1739.000000,0.000920,0.000000
random_descriptor_qd,Random,Prob041_traffic_light,8,1,4,0.369479,149.000000,0.000489,0.000000
random_descriptor_qd,Random,Prob015_multi_pipe_8bit,15,5,0,0.061050,616.000000,0.085900,0.570000
sr_rff_pca_qd,SR-RFF,Prob045_alu,19,1,19,0.395398,1792.000000,0.000959,0.000000
sr_rff_pca_qd,SR-RFF,Prob041_traffic_light,18,3,16,0.420875,109.000000,0.000258,0.000000
sr_rff_pca_qd,SR-RFF,Prob015_multi_pipe_8bit,8,6,0,0.072262,582.000000,0.083800,0.580000
sr_random_relu_pca_qd,SR ReLU,Prob045_alu,16,1,16,0.397589,1778.000000,0.000927,0.000000
sr_random_relu_pca_qd,SR ReLU,Prob041_traffic_light,17,4,11,0.403821,118.000000,0.000347,0.000000
sr_random_relu_pca_qd,SR ReLU,Prob015_multi_pipe_8bit,16,6,0,0.052795,600.000000,0.087400,0.480000
sr_raw_pca_qd,SR raw,Prob045_alu,18,4,18,0.405031,1727.000000,0.000936,0.000000
sr_raw_pca_qd,SR raw,Prob041_traffic_light,12,2,8,0.391093,127.000000,0.000294,0.000000
sr_raw_pca_qd,SR raw,Prob015_multi_pipe_8bit,19,10,0,0.091371,616.000000,0.067500,0.570000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob045_alu,18,2,18,0.402580,1744.000000,0.000953,0.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob041_traffic_light,9,2,8,0.399899,134.000000,0.000310,0.000000
guarded_sr_raw_pareto_qd,Guarded SR raw,Prob015_multi_pipe_8bit,14,6,0,0.052795,600.000000,0.087400,0.560000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob045_alu,23,1,23,0.412494,1679.000000,0.000902,0.000000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob041_traffic_light,18,3,16,0.399899,114.000000,0.000369,0.000000
sr_raw_conservative_exploit_qd,Conservative exploit,Prob015_multi_pipe_8bit,16,6,0,0.243448,600.000000,0.036400,0.570000
