backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_8x5,ALL,8,8,0.14064478405974706,3.25,8.0,2
classic_revolution_8x5,RTLLM,5,5,0.1452769769634218,3.6,10.6,1
classic_revolution_8x5,VerilogEval-Spec-to-RTL,3,3,0.13292446255362253,2.6666666666666665,3.6666666666666665,1
elite_pareto_slot_2,ALL,8,8,0.15708823503393493,3.125,8.25,2
elite_pareto_slot_2,RTLLM,5,5,0.17146545685939565,3.8,11.8,1
elite_pareto_slot_2,VerilogEval-Spec-to-RTL,3,3,0.13312619865816705,2.0,2.3333333333333335,1
scalar_elite,ALL,8,8,0.14682988249771348,3.375,6.875,1
scalar_elite,RTLLM,5,5,0.1554285635596774,3.4,10.0,1
scalar_elite,VerilogEval-Spec-to-RTL,3,3,0.1324987473944403,3.3333333333333335,1.6666666666666667,0
smooth_qd_v2_8x5,ALL,8,8,0.17376375275693837,2.625,7.875,3
smooth_qd_v2_8x5,RTLLM,5,5,0.1981684347330043,3.0,10.2,2
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,3,3,0.13308928279682847,2.0,4.0,1
