backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,sequential,3,4cf4aeb4-684d-4fca-ae92-af4bef731c8e,M-R,generation_log,0.253156101921,0.253156101921,611,0.0357,1,980,0.0898,0.82,0.376530612245,0.602449888641,-0.219512195122,,
classic_revolution_8x5,RTLLM,Prob024_fsm,combinational,4,b627bcc8-0c51-482a-a44f-ac413524498b,M-I,generation_log,0.631618183714,0.522427275571,26,0.00271,0.15,46,0.00695,0,0.434782608696,0.610071942446,-150000000000,,
classic_revolution_8x5,RTLLM,Prob041_traffic_light,combinational,3,a3ae39c4-5786-4ad7-a691-9c1c31a19346,M-R,generation_log,0.331658194142,0.497487291213,168,0.000544,0,170,0.0324,0,0.0117647058824,0.983209876543,0,,
classic_revolution_8x5,RTLLM,Prob045_alu,combinational,3,27ed808d-e768-44a4-9cca-11e34c50f61d,M-I,generation_log,0.397525461594,0.596288192391,1777,0.001,0,2225,0.114,0,0.201348314607,0.991228070175,0,,
classic_revolution_8x5,RTLLM,Prob049_signal_generator,sequential,0,9aee5a85-c9e6-42c4-aca7-b122444e6470,initial,generation_log,0.234774694403,0.234774694403,82,0.00252,0.38,94,0.00467,0.43,0.127659574468,0.460385438972,0.116279069767,,
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,combinational,3,1ab8813e-2389-42b7-abe8-8821a727600a,M-I,generation_log,0.465352331606,0.698028497409,3,7.61e-07,0,5,0.000193,0,0.4,0.996056994819,0,,
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,combinational,0,422dedda-41f7-46e8-8b1a-a84f0a92cc88,initial,generation_log,0.263617339312,0.395426008969,6,2.04e-06,0,5,0.000223,0,-0.2,0.990852017937,0,,
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,sequential,4,43f1a0d4-afdb-4c88-95db-9e9cdf1f624f,C-F,generation_log,0.161779811848,0.161779811848,2783,0.289,0.7,3025,0.437,0.75,0.08,0.338672768879,0.0666666666667,,
front_slot_lane_030,RTLLM,Prob015_multi_pipe_8bit,sequential,1,c1f8b4c6-93d7-4896-a7c4-f674cf37d3ef,M-S,generation_log,0.159331504887,0.159331504887,673,0.0542,1.01,980,0.0898,0.82,0.313265306122,0.396436525612,-0.231707317073,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample5_M-S,
front_slot_lane_030,RTLLM,Prob024_fsm,combinational,5,6694b960-13d1-4624-a18e-a5f209fd124c,M-I,generation_log,0.500233552289,0.340350328433,36,0.00373,0.18,46,0.00695,0,0.217391304348,0.463309352518,-180000000000,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen5/Prob024_fsm_sample6_M-I,
front_slot_lane_030,RTLLM,Prob041_traffic_light,combinational,5,be7fbc9d-1830-4b59-a246-058ecabac4e4,M-E,generation_log,0.432454611474,0.648681917211,118,0.000276,0,170,0.0324,0,0.305882352941,0.991481481481,0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen5/Prob041_traffic_light_sample6_M-E,
front_slot_lane_030,RTLLM,Prob045_alu,combinational,5,8c1457a1-f029-4c75-be2d-431da78241a9,M-I,generation_log,0.41031440962,0.615471614429,1693,0.00093,0,2225,0.114,0,0.239101123596,0.991842105263,0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen5/Prob045_alu_sample6_M-I,
front_slot_lane_030,RTLLM,Prob049_signal_generator,sequential,1,cacc6fa7-bb2f-421f-a437-e2ef23f94ec2,M-I,generation_log,0.258937650035,0.258937650035,73,0.00252,0.39,94,0.00467,0.43,0.223404255319,0.460385438972,0.093023255814,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator/Gen1/Prob049_signal_generator_sample7_M-I,
front_slot_lane_030,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,combinational,0,f8276dc8-15d5-4389-8fc6-643e6d426316,initial,generation_log,0.465352331606,0.698028497409,3,7.61e-07,0,5,0.000193,0,0.4,0.996056994819,0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3/Gen0/Prob116_m2014_q3_sample4_initial,
front_slot_lane_030,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,combinational,1,60486e7d-9689-4266-bce4-6258dc9bc9bf,M-S,generation_log,0.263617339312,0.395426008969,6,2.04e-06,0,5,0.000223,0,-0.2,0.990852017937,0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b/Gen1/Prob135_m2014_q6b_sample5_M-S,
front_slot_lane_030,VerilogEval-Spec-to-RTL,Prob153_gshare,sequential,0,651b492a-1d9c-44f9-96ea-feff8482442e,initial,generation_log,0.123276030536,0.123276030536,2820,0.305,0.75,3025,0.437,0.75,0.0677685950413,0.302059496568,0,/workspace/exp/natural_qd_push/n03_archive_parent_lane_20260703_070921_UTC/live/front_slot_lane_030/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare/Gen0/Prob153_gshare_sample2_initial,
smooth_qd_v2_8x5,RTLLM,Prob015_multi_pipe_8bit,sequential,3,bdfe2bcd-8fd7-49ac-aabe-e1b64ddcb893,M-F,generation_log,0.193253133727,0.193253133727,705,0.0487,0.95,980,0.0898,0.82,0.280612244898,0.457683741648,-0.158536585366,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/Prob015_multi_pipe_8bit_sample3_M-F,
smooth_qd_v2_8x5,RTLLM,Prob024_fsm,combinational,2,15d1b46b-8a92-47f4-94d4-c1b90c7c8aa1,M-F,generation_log,0.491672401209,0.342508601814,36,0.0037,0.21,46,0.00695,0,0.217391304348,0.467625899281,-210000000000,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen2/Prob024_fsm_sample3_M-F,
smooth_qd_v2_8x5,RTLLM,Prob041_traffic_light,combinational,3,0402dad8-73fb-4dc3-abd7-425fc7426b49,initial,generation_log,0.431703582668,0.647555374001,118,0.000349,0,170,0.0324,0,0.305882352941,0.989228395062,0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen3/Prob041_traffic_light_sample1_initial,
smooth_qd_v2_8x5,RTLLM,Prob045_alu,combinational,3,d5715cfc-6269-49aa-b4c8-5c5868218749,M-E,generation_log,0.402932649977,0.604398974966,1742,0.000944,0,2225,0.114,0,0.217078651685,0.991719298246,0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample3_M-E,
smooth_qd_v2_8x5,RTLLM,Prob049_signal_generator,sequential,2,a06f5a4d-e437-42eb-86a8-fc293ec5738f,M-S,generation_log,0.259849383048,0.259849383048,54,0.00432,0.31,94,0.00467,0.43,0.425531914894,0.0749464668094,0.279069767442,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator/Gen2/Prob049_signal_generator_sample7_M-S,
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,combinational,3,9d6452c5-d7ce-4caa-b1b9-c60ffa51ceee,initial,generation_log,0.465352331606,0.698028497409,3,7.61e-07,0,5,0.000193,0,0.4,0.996056994819,0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3/Gen3/Prob116_m2014_q3_sample2_initial,
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,combinational,1,b854ec74-52f9-41b5-8e3e-67c1157ffc59,M-S,generation_log,0.331046337818,0.496569506726,5,1.53e-06,0,5,0.000223,0,0,0.993139013453,0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b/Gen1/Prob135_m2014_q6b_sample8_M-S,
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,sequential,5,9a82b8bc-480a-4ab7-9f45-7e0bb87d43a2,C-F,generation_log,0.152398711475,0.152398711475,2708,0.283,0.75,3025,0.437,0.75,0.10479338843,0.352402745995,0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare/Gen5/Prob153_gshare_sample2_C-F,
