backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,3,15,7,0.0,0,0.3877551020408163,0.5946547884187082,0.3536585365853659,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
smooth_qd_v2_6x7,RTLLM,Prob015_multi_pipe_8bit,3,20,5,0.0,0,0.4061224489795918,0.40645879732739426,0.012195121951219521,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_6x7,RTLLM,Prob024_fsm,2,8,1,0.3406318423522052,7,0.4782608695652174,0.7122302158273381,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
smooth_qd_v2_6x7,RTLLM,Prob024_fsm,2,9,1,0.3406318423522052,5,0.4782608695652174,0.7122302158273381,0.0,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_revolution_6x7,RTLLM,Prob041_traffic_light,2,26,2,0.35009368191721135,24,0.35294117647058826,0.992037037037037,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
smooth_qd_v2_6x7,RTLLM,Prob041_traffic_light,2,21,1,0.3501307189542484,20,0.35294117647058826,0.992037037037037,0.0,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution_6x7,RTLLM,Prob045_alu,2,25,1,0.2523201892371378,25,0.2543820224719101,0.9918947368421053,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
smooth_qd_v2_6x7,RTLLM,Prob045_alu,2,31,1,0.26813390498718703,31,0.2701123595505618,0.9926754385964912,0.0,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
classic_revolution_6x7,RTLLM,Prob049_signal_generator,3,7,2,0.019198840440895218,5,0.425531914893617,0.46038543897216266,0.27906976744186046,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
smooth_qd_v2_6x7,RTLLM,Prob049_signal_generator,3,3,2,0.018626689566828804,3,0.425531914893617,0.46038543897216266,0.27906976744186046,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
classic_revolution_6x7,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,5,1,0.39842279792746116,5,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
smooth_qd_v2_6x7,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,5,1,0.39842279792746116,5,0.4,0.9960569948186528,0.0,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
classic_revolution_6x7,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,3,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
smooth_qd_v2_6x7,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,4,1,0.0,1,0.0,0.9931390134529148,0.0,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
classic_revolution_6x7,VerilogEval-Spec-to-RTL,Prob153_gshare,3,14,6,0.00012849947362117124,1,0.10479338842975207,0.3546910755148742,0.09333333333333327,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
smooth_qd_v2_6x7,VerilogEval-Spec-to-RTL,Prob153_gshare,3,6,2,4.9059767636842776e-05,1,0.00628099173553719,0.14645308924485126,0.09333333333333327,/workspace/exp/natural_qd_push/n04_budget_shape_20260707_112042_UTC/live/smooth_qd_v2_6x7/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
