backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,0,492535c7-ca7b-49ab-9da5-9a9a75dc56cd,initial,generation_log,-0.27064024806,-0.27064024806,1114,0.18,0.55,980,0.0898,0.82,-0.136734693878,-1.00445434298,0.329268292683,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,0,b4184dcb-3bfe-4f7e-bba6-8bee4012c2b8,initial,generation_log,-0.235469267288,-0.235469267288,1074,0.172,0.57,980,0.0898,0.82,-0.0959183673469,-0.915367483296,0.30487804878,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,0,ebde4e65-eaea-4d77-918a-c5a0566b92ac,initial,generation_log,0.2222851659,0.2222851659,630,0.0368,1.05,980,0.0898,0.82,0.357142857143,0.590200445434,-0.280487804878,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,1,461c4260-cf27-48d6-83fc-4b14f75ed095,M-E,generation_log,-0.390624040371,-0.390624040371,1196,0.207,0.53,980,0.0898,0.82,-0.220408163265,-1.30512249443,0.353658536585,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,1,06304bb8-88a9-4e39-84d1-1e381e85aed1,M-I,generation_log,0.0524233377419,0.0524233377419,600,0.0875,1.03,980,0.0898,0.82,0.387755102041,0.0256124721604,-0.256097560976,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,1,9d858529-205d-415d-a952-88482ba02b23,C-F,generation_log,-0.229716498474,-0.229716498474,1068,0.171,0.57,980,0.0898,0.82,-0.0897959183673,-0.904231625835,0.30487804878,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,2,27d27a56-fcf0-433d-9fa0-f1793caa88df,M-S,generation_log,0.0527945329906,0.0527945329906,600,0.0874,1.03,980,0.0898,0.82,0.387755102041,0.0267260579065,-0.256097560976,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,2,92161109-1550-42f0-87b9-28418885dec0,M-R,generation_log,0.0231070982361,0.0231070982361,623,0.0911,1.05,980,0.0898,0.82,0.364285714286,-0.0144766146993,-0.280487804878,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,2,4c7a985f-07c4-44cd-b05b-d4c221b5b298,M-R,generation_log,0.0231070982361,0.0231070982361,623,0.0911,1.05,980,0.0898,0.82,0.364285714286,-0.0144766146993,-0.280487804878,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,3,2654fecc-7d6b-4c5d-a11e-284010a9e4e3,M-E,generation_log,-0.223610641497,-0.223610641497,1062,0.171,0.56,980,0.0898,0.82,-0.0836734693878,-0.904231625835,0.317073170732,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,4,b80be063-be53-4a4a-aa1c-976e2b3733fb,M-S,generation_log,0.0527945329906,0.0527945329906,600,0.0874,1.03,980,0.0898,0.82,0.387755102041,0.0267260579065,-0.256097560976,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,4,ecba7dd6-720d-484b-9365-6b6cd335eafd,M-S,generation_log,0.243448062043,0.243448062043,608,0.0364,1.02,980,0.0898,0.82,0.379591836735,0.594654788419,-0.243902439024,,
classic_revolution_6x7,RTLLM,Prob015_multi_pipe_8bit,sequential,5,eaaa1fee-59f2-41d3-820a-0e8f259def11,M-E,generation_log,-0.147183313545,-0.147183313545,987,0.131,0.8,980,0.0898,0.82,-0.00714285714286,-0.458797327394,0.0243902439024,,
