backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_8x5,ALL,8,8,0.14064478405974706,3.25,8.0,3
classic_revolution_8x5,RTLLM,5,5,0.1452769769634218,3.6,10.6,2
classic_revolution_8x5,VerilogEval-Spec-to-RTL,3,3,0.13292446255362253,2.6666666666666665,3.6666666666666665,1
smooth_qd_v2_8x5,ALL,8,8,0.17376375275693837,2.625,7.875,4
smooth_qd_v2_8x5,RTLLM,5,5,0.1981684347330043,3.0,10.2,2
smooth_qd_v2_8x5,VerilogEval-Spec-to-RTL,3,3,0.13308928279682847,2.0,4.0,2
warmup_16,ALL,8,8,0.1638295312339896,2.0,6.5,1
warmup_16,RTLLM,5,5,0.1825944727137136,2.2,9.4,1
warmup_16,VerilogEval-Spec-to-RTL,3,3,0.13255462876778296,1.6666666666666667,1.6666666666666667,0
warmup_4,ALL,8,8,0.1492705742659306,2.75,7.0,0
warmup_4,RTLLM,5,5,0.15908293949228033,3.0,10.0,0
warmup_4,VerilogEval-Spec-to-RTL,3,3,0.13291663222201439,2.3333333333333335,2.0,0
