backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3510204081632653,-0.14699331848552327,0.402439024390244,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
smooth_qd_v2_8x5,RTLLM,Prob015_multi_pipe_8bit,3,15,9,0.0,0,0.36428571428571427,0.08129175946547884,0.402439024390244,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
graph_testability_3d,RTLLM,Prob015_multi_pipe_8bit,3,15,9,0.0,0,0.35714285714285715,0.0378619153674833,0.39024390243902446,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/graph_testability_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
size_control_3d,RTLLM,Prob015_multi_pipe_8bit,3,11,7,0.0,0,0.3336734693877551,0.21937639198218273,0.3048780487804878,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/size_control_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
random_hash_3d,RTLLM,Prob015_multi_pipe_8bit,3,12,7,0.0,0,0.3877551020408163,0.026726057906458787,0.3536585365853659,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/random_hash_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_8x5,RTLLM,Prob024_fsm,2,4,2,0.14472943384422896,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
smooth_qd_v2_8x5,RTLLM,Prob024_fsm,2,10,1,0.3406318423522052,6,0.4782608695652174,0.7122302158273381,0.0,/workspace/exp/natural_qd_push/p0_v2_anchor_20260703_041511_UTC/live/smooth_qd_v2_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
graph_testability_3d,RTLLM,Prob024_fsm,2,11,1,0.3406318423522052,7,0.4782608695652174,0.7122302158273381,0.0,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/graph_testability_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
size_control_3d,RTLLM,Prob024_fsm,2,6,1,0.2652486706287143,3,0.43478260869565216,0.610071942446043,0.0,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/size_control_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
random_hash_3d,RTLLM,Prob024_fsm,2,5,2,0.1409133562715045,2,0.3695652173913043,0.4618705035971223,0.0,/workspace/exp/natural_qd_push/n06_descriptor_bakeoff_20260703_070921_UTC/live/random_hash_3d/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
