arm,problem,profile,observations,occupied_cells,archive_members,collapsed_axes,min_axis_unique_count
graph_testability_3d,Prob015_multi_pipe_8bit,journal_graph_testability_3d,15,14,15,none,13
graph_testability_3d,Prob024_fsm,journal_graph_testability_3d,13,8,11,none,4
graph_testability_3d,Prob041_traffic_light,journal_graph_testability_3d,26,10,21,reconv_sink_ratio,1
graph_testability_3d,Prob045_alu,journal_graph_testability_3d,25,7,14,none,5
graph_testability_3d,Prob049_signal_generator,journal_graph_testability_3d,19,3,5,reconv_sink_ratio,2
graph_testability_3d,Prob116_m2014_q3,journal_graph_testability_3d,19,3,7,rtl_cyclomatic_total_log;reconv_sink_ratio,1
graph_testability_3d,Prob135_m2014_q6b,journal_graph_testability_3d,37,6,10,rtl_cyclomatic_total_log,2
graph_testability_3d,Prob153_gshare,journal_graph_testability_3d,7,0,0,none,3
size_control_3d,Prob015_multi_pipe_8bit,size_control_3d,16,6,12,ctrl_depth_est,1
size_control_3d,Prob024_fsm,size_control_3d,8,6,7,none,2
size_control_3d,Prob041_traffic_light,size_control_3d,16,8,15,none,2
size_control_3d,Prob045_alu,size_control_3d,22,8,13,ctrl_depth_est,1
size_control_3d,Prob049_signal_generator,size_control_3d,15,2,3,none,2
size_control_3d,Prob116_m2014_q3,size_control_3d,18,1,3,wire_count_log_est;assign_count;ctrl_depth_est,1
size_control_3d,Prob135_m2014_q6b,size_control_3d,26,1,4,none,2
size_control_3d,Prob153_gshare,size_control_3d,11,5,5,none,2
random_hash_3d,Prob015_multi_pipe_8bit,,16,14,15,none,15
random_hash_3d,Prob024_fsm,,7,0,0,none,5
random_hash_3d,Prob041_traffic_light,,17,16,17,none,17
random_hash_3d,Prob045_alu,,20,17,20,none,20
random_hash_3d,Prob049_signal_generator,,20,6,9,none,10
random_hash_3d,Prob116_m2014_q3,,16,8,10,none,10
random_hash_3d,Prob135_m2014_q6b,,34,7,7,none,7
random_hash_3d,Prob153_gshare,,13,2,2,none,2
v2_trio_reference,Prob015_multi_pipe_8bit,journal_logic_ff_width_3d,19,11,16,none,4
v2_trio_reference,Prob024_fsm,journal_logic_ff_width_3d,14,3,10,ff_depth,1
v2_trio_reference,Prob041_traffic_light,journal_logic_ff_width_3d,21,8,18,none,3
v2_trio_reference,Prob045_alu,journal_logic_ff_width_3d,36,6,20,ff_depth,1
v2_trio_reference,Prob049_signal_generator,journal_logic_ff_width_3d,20,2,3,logic_depth;ff_depth,1
v2_trio_reference,Prob116_m2014_q3,journal_logic_ff_width_3d,30,4,9,ff_depth,1
v2_trio_reference,Prob135_m2014_q6b,journal_logic_ff_width_3d,43,4,6,ff_depth,1
v2_trio_reference,Prob153_gshare,journal_logic_ff_width_3d,13,3,6,ff_depth,1
