backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob001_accu,3,13,4,0.0,0,-0.2670157068062827,0.4444444444444445,0.1551724137931034,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
smooth_qd_v2_8x5,RTLLM,Prob001_accu,3,13,1,0.0,0,-0.17801047120418848,0.43803418803418803,0.17241379310344826,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
front_slot_lane_030,RTLLM,Prob001_accu,3,15,2,0.0,0,-0.17801047120418848,0.4658119658119658,0.189655172413793,/workspace/exp/natural_qd_push/p3b_variant_probe_20260703_152150_UTC/live/front_slot_lane_030/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,2,12,1,0.2051142342841318,5,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
smooth_qd_v2_8x5,RTLLM,Prob002_adder_16bit,2,7,1,0.2051142342841318,3,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
front_slot_lane_030,RTLLM,Prob002_adder_16bit,2,8,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/p3b_variant_probe_20260703_152150_UTC/live/front_slot_lane_030/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,2,18,1,0.6744597525026996,18,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
smooth_qd_v2_8x5,RTLLM,Prob003_adder_32bit,2,21,1,0.6744597525026996,20,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
front_slot_lane_030,RTLLM,Prob003_adder_32bit,2,18,1,0.6744597525026996,17,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/p3b_variant_probe_20260703_152150_UTC/live/front_slot_lane_030/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic_revolution_8x5,RTLLM,Prob004_adder_8bit,2,7,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
smooth_qd_v2_8x5,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1005/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
