backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob001_accu,3,12,1,0.0,0,-0.17801047120418848,0.43803418803418803,0.17241379310344826,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
compact8d_cvt,RTLLM,Prob001_accu,3,12,4,0.0,0,-0.2670157068062827,0.420940170940171,0.17241379310344826,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
trio_cvt,RTLLM,Prob001_accu,3,4,2,0.0,0,-0.2670157068062827,0.41880341880341887,0.1551724137931034,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,2,14,1,0.06459429520908336,1,0.06521739130434782,0.9904458598726115,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
compact8d_cvt,RTLLM,Prob002_adder_16bit,2,8,1,0.2051142342841318,3,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
trio_cvt,RTLLM,Prob002_adder_16bit,2,7,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,2,12,1,0.6744597525026996,11,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
compact8d_cvt,RTLLM,Prob003_adder_32bit,2,25,1,0.6744597525026996,25,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
trio_cvt,RTLLM,Prob003_adder_32bit,2,24,1,0.6744597525026996,24,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic_revolution_8x5,RTLLM,Prob004_adder_8bit,2,8,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
compact8d_cvt,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
trio_cvt,RTLLM,Prob004_adder_8bit,2,5,1,0.1510262891809909,3,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
classic_revolution_8x5,RTLLM,Prob005_adder_bcd,2,13,1,0.19818984547461369,7,0.2,0.9909492273730683,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
compact8d_cvt,RTLLM,Prob005_adder_bcd,2,13,1,0.19818984547461369,7,0.2,0.9909492273730683,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
trio_cvt,RTLLM,Prob005_adder_bcd,2,11,1,0.19818984547461369,7,0.2,0.9909492273730683,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
classic_revolution_8x5,RTLLM,Prob007_comparator_3bit,2,14,1,0.058316843556994666,3,0.058823529411764705,0.9913863404689093,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
compact8d_cvt,RTLLM,Prob007_comparator_3bit,2,16,1,0.05831864244168616,4,0.058823529411764705,0.9914169215086647,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
trio_cvt,RTLLM,Prob007_comparator_3bit,2,11,1,0.0,2,0.0,0.9898674821610602,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
classic_revolution_8x5,RTLLM,Prob008_comparator_4bit,2,16,1,0.33125,11,0.3333333333333333,0.99375,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
compact8d_cvt,RTLLM,Prob008_comparator_4bit,2,19,1,0.36161818181818184,15,0.36363636363636365,0.9944500000000001,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
trio_cvt,RTLLM,Prob008_comparator_4bit,2,16,1,0.36161818181818184,14,0.36363636363636365,0.9944500000000001,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
classic_revolution_8x5,RTLLM,Prob009_div_16bit,2,25,3,0.7101914002533721,25,0.7683881064162754,0.9251428571428572,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
compact8d_cvt,RTLLM,Prob009_div_16bit,2,23,4,0.7081210671436026,23,0.7694835680751174,0.9208571428571429,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
trio_cvt,RTLLM,Prob009_div_16bit,2,19,5,0.7109054325955734,19,0.7699530516431925,0.9260952380952381,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
classic_revolution_8x5,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
compact8d_cvt,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
trio_cvt,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
classic_revolution_8x5,RTLLM,Prob011_multi_16bit,3,15,4,0.008605093012704172,3,0.12593984962406016,0.4816666666666667,0.43965517241379304,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
compact8d_cvt,RTLLM,Prob011_multi_16bit,3,12,5,0.0,0,0.046992481203007516,0.5288888888888889,0.40517241379310337,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
trio_cvt,RTLLM,Prob011_multi_16bit,3,10,2,0.02328320802005012,2,0.09586466165413533,0.6005555555555555,0.4224137931034482,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
classic_revolution_8x5,RTLLM,Prob012_multi_8bit,2,4,1,0.3865685457602981,3,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
compact8d_cvt,RTLLM,Prob012_multi_8bit,2,5,1,0.3865685457602981,4,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
trio_cvt,RTLLM,Prob012_multi_8bit,2,5,1,0.3865685457602981,4,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
classic_revolution_8x5,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
compact8d_cvt,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
trio_cvt,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,3,20,6,0.0,0,0.3877551020408163,0.026726057906458787,0.3658536585365854,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
compact8d_cvt,RTLLM,Prob015_multi_pipe_8bit,3,18,6,0.0,0,0.3877551020408163,0.20155902004454349,0.3658536585365854,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
trio_cvt,RTLLM,Prob015_multi_pipe_8bit,3,11,6,0.0,0,0.3877551020408163,0.5902004454342985,0.3170731707317073,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_8x5,RTLLM,Prob016_fixed_point_adder,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob016_fixed_point_adder
compact8d_cvt,RTLLM,Prob016_fixed_point_adder,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob016_fixed_point_adder
trio_cvt,RTLLM,Prob016_fixed_point_adder,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob016_fixed_point_adder
classic_revolution_8x5,RTLLM,Prob017_fixed_point_substractor,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob017_fixed_point_substractor
compact8d_cvt,RTLLM,Prob017_fixed_point_substractor,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob017_fixed_point_substractor
trio_cvt,RTLLM,Prob017_fixed_point_substractor,2,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob017_fixed_point_substractor
classic_revolution_8x5,RTLLM,Prob019_sub_64bit,2,9,1,0.44995892156402917,5,0.4524959742351047,0.9943932038834951,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
compact8d_cvt,RTLLM,Prob019_sub_64bit,2,6,1,0.4499369557400372,2,0.4524959742351047,0.9943446601941748,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
trio_cvt,RTLLM,Prob019_sub_64bit,2,9,1,0.4499369557400372,3,0.4524959742351047,0.9943446601941748,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/trio_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
classic_revolution_8x5,RTLLM,Prob020_JC_counter,3,3,1,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob020_JC_counter
compact8d_cvt,RTLLM,Prob020_JC_counter,3,5,1,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3c_bd_sweep_20260704_093150_UTC/live/compact8d_cvt/seed_1001/openai_gpt-oss-120b/RTLLM/Prob020_JC_counter
