backend,problem,circuit_type,hv_final,hv_auc
classic_revolution_8x5,Prob001_accu,sequential,0,0
classic_revolution_8x5,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
classic_revolution_8x5,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
classic_revolution_8x5,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
classic_revolution_8x5,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
classic_revolution_8x5,Prob007_comparator_3bit,combinational,0,0
classic_revolution_8x5,Prob008_comparator_4bit,combinational,0.361618181818,0.3525
classic_revolution_8x5,Prob009_div_16bit,combinational,0.710264088233,0.698165620389
classic_revolution_8x5,Prob011_multi_16bit,sequential,0.00452932798952,0.00226466399476
classic_revolution_8x5,Prob012_multi_8bit,combinational,0.38656854576,0.341208977835
classic_revolution_8x5,Prob015_multi_pipe_8bit,sequential,0,0
classic_revolution_8x5,Prob019_sub_64bit,combinational,0.366057017338,0.256239912137
classic_revolution_8x5,Prob020_JC_counter,sequential,0,0
classic_revolution_8x5,Prob021_counter_12,sequential,0,0
classic_revolution_8x5,Prob023_up_down_counter,sequential,0,0
classic_revolution_8x5,Prob024_fsm,combinational,0.265248670629,0.119862370973
classic_revolution_8x5,Prob025_sequence_detector,sequential,0.01413599109,0.004240797327
classic_revolution_8x5,Prob027_LIFObuffer,sequential,0.00162097144082,0.00113468000857
classic_revolution_8x5,Prob030_right_shifter,sequential,0,0
classic_revolution_8x5,Prob031_freq_div,combinational,0.0835529061103,0.0638664679583
classic_revolution_8x5,Prob035_calendar,sequential,0,0
classic_revolution_8x5,Prob036_edge_detect,sequential,0.355889724311,0.106766917293
classic_revolution_8x5,Prob037_parallel2serial,sequential,0,0
classic_revolution_8x5,Prob038_pulse_detect,sequential,0.0210287013356,0.00630861040067
classic_revolution_8x5,Prob039_serial2parallel,sequential,0,0
classic_revolution_8x5,Prob041_traffic_light,combinational,0.332617283951,0.261999273784
classic_revolution_8x5,Prob043_RAM,sequential,0.0931507556288,0.0752354863708
classic_revolution_8x5,Prob044_ROM,combinational,0,0
classic_revolution_8x5,Prob045_alu,combinational,0.239413968066,0.210295520205
classic_revolution_8x5,Prob047_instr_reg,sequential,0,0
classic_revolution_8x5,Prob048_pe,sequential,0,0
classic_revolution_8x5,Prob049_signal_generator,sequential,0.020343142189,0.0185709578335
classic_revolution_8x5,Prob050_square_wave,sequential,0.00279515172786,0.00207048939329
s03_elite_pareto_slot_2,Prob001_accu,sequential,0,0
s03_elite_pareto_slot_2,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
s03_elite_pareto_slot_2,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
s03_elite_pareto_slot_2,Prob004_adder_8bit,combinational,0.151026289181,0.151026289181
s03_elite_pareto_slot_2,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
s03_elite_pareto_slot_2,Prob007_comparator_3bit,combinational,0.058316843557,0.0291584217785
s03_elite_pareto_slot_2,Prob008_comparator_4bit,combinational,0.33125,0.331218333333
s03_elite_pareto_slot_2,Prob009_div_16bit,combinational,0.714918727178,0.698640068559
s03_elite_pareto_slot_2,Prob011_multi_16bit,sequential,0.000321984018955,9.65952056866e-05
s03_elite_pareto_slot_2,Prob012_multi_8bit,combinational,0.38656854576,0.341208977835
s03_elite_pareto_slot_2,Prob015_multi_pipe_8bit,sequential,0,0
s03_elite_pareto_slot_2,Prob019_sub_64bit,combinational,0.449947938652,0.313996294733
s03_elite_pareto_slot_2,Prob020_JC_counter,sequential,0,0
s03_elite_pareto_slot_2,Prob021_counter_12,sequential,0,0
s03_elite_pareto_slot_2,Prob023_up_down_counter,sequential,0.00939486973007,0.00469743486504
s03_elite_pareto_slot_2,Prob024_fsm,combinational,0.265248670629,0.249411948702
s03_elite_pareto_slot_2,Prob025_sequence_detector,sequential,0.0202187508924,0.0141531256246
s03_elite_pareto_slot_2,Prob027_LIFObuffer,sequential,0.00994646086877,0.00608392334033
s03_elite_pareto_slot_2,Prob030_right_shifter,sequential,0,0
s03_elite_pareto_slot_2,Prob031_freq_div,combinational,0.10095976155,0.0629555886736
s03_elite_pareto_slot_2,Prob035_calendar,sequential,0,0
s03_elite_pareto_slot_2,Prob036_edge_detect,sequential,0.355889724311,0.32030075188
s03_elite_pareto_slot_2,Prob037_parallel2serial,sequential,0.130782438067,0.0915477066469
s03_elite_pareto_slot_2,Prob038_pulse_detect,sequential,0.308439897698,0.0308439897698
s03_elite_pareto_slot_2,Prob039_serial2parallel,sequential,0,0
s03_elite_pareto_slot_2,Prob041_traffic_light,combinational,0.250603485839,0.177071314452
s03_elite_pareto_slot_2,Prob043_RAM,sequential,0.0604919147194,0.0543169262306
s03_elite_pareto_slot_2,Prob044_ROM,combinational,0,0
s03_elite_pareto_slot_2,Prob045_alu,combinational,0.23144694658,0.22108859452
s03_elite_pareto_slot_2,Prob047_instr_reg,sequential,0,0
s03_elite_pareto_slot_2,Prob048_pe,sequential,0,0
s03_elite_pareto_slot_2,Prob049_signal_generator,sequential,0.0169801664959,0.0154938456697
s03_elite_pareto_slot_2,Prob050_square_wave,sequential,0.00143965534221,0.0011209256769
smooth_qd_v2_8x5,Prob001_accu,sequential,0,0
smooth_qd_v2_8x5,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
smooth_qd_v2_8x5,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
smooth_qd_v2_8x5,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
smooth_qd_v2_8x5,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
smooth_qd_v2_8x5,Prob007_comparator_3bit,combinational,0.058316843557,0.0524851592013
smooth_qd_v2_8x5,Prob008_comparator_4bit,combinational,0.361618181818,0.315996818182
smooth_qd_v2_8x5,Prob009_div_16bit,combinational,0.709682957001,0.707990550711
smooth_qd_v2_8x5,Prob011_multi_16bit,sequential,0.00492131460116,0.00105158505099
smooth_qd_v2_8x5,Prob012_multi_8bit,combinational,0.38656854576,0.347911691184
smooth_qd_v2_8x5,Prob015_multi_pipe_8bit,sequential,0,0
smooth_qd_v2_8x5,Prob019_sub_64bit,combinational,0.44993695574,0.404943260166
smooth_qd_v2_8x5,Prob020_JC_counter,sequential,0,0
smooth_qd_v2_8x5,Prob021_counter_12,sequential,0,0
smooth_qd_v2_8x5,Prob023_up_down_counter,sequential,0,0
smooth_qd_v2_8x5,Prob024_fsm,combinational,0.265248670629,0.210750703785
smooth_qd_v2_8x5,Prob025_sequence_detector,sequential,0,0
smooth_qd_v2_8x5,Prob027_LIFObuffer,sequential,0.00796670622903,0.00567743200466
smooth_qd_v2_8x5,Prob029_barrel_shifter,combinational,0.0341060025543,0.0170530012771
smooth_qd_v2_8x5,Prob030_right_shifter,sequential,0,0
smooth_qd_v2_8x5,Prob031_freq_div,combinational,0.0835529061103,0.0769907600596
smooth_qd_v2_8x5,Prob035_calendar,sequential,0,0
smooth_qd_v2_8x5,Prob036_edge_detect,sequential,0.355889724311,0.32030075188
smooth_qd_v2_8x5,Prob037_parallel2serial,sequential,0.000206033848418,2.06033848418e-05
smooth_qd_v2_8x5,Prob039_serial2parallel,sequential,0,0
smooth_qd_v2_8x5,Prob041_traffic_light,combinational,0.32599782135,0.203056136529
smooth_qd_v2_8x5,Prob043_RAM,sequential,0.0915339414061,0.0638619200335
smooth_qd_v2_8x5,Prob044_ROM,combinational,0,0
smooth_qd_v2_8x5,Prob045_alu,combinational,0.230466548394,0.217190318943
smooth_qd_v2_8x5,Prob047_instr_reg,sequential,0,0
smooth_qd_v2_8x5,Prob048_pe,sequential,0,0
smooth_qd_v2_8x5,Prob049_signal_generator,sequential,0.017136978217,0.0146421884983
smooth_qd_v2_8x5,Prob050_square_wave,sequential,0.00232780092647,0.00102351616121
