seed,metric,classic,S07_capacity3,smooth_qd_v2,delta_s07_minus_classic,delta_s07_minus_v2
1001,mean_hv,0.1114014700215706,0.10029633673771567,0.09676717694998792,-0.011105133283854929,0.003529159787727748
1001,mean_hv_auc46,0.09055094710878275,0.09189451735648001,0.08353860302885843,0.0013435702476972539,0.008355914327621575
1001,covered_problems,33,32,32,-1,0
1001,hv_win_count,13,14,6,1,8
1002,mean_hv,0.09755705541435797,0.10562961466562251,0.10031017508468461,0.008072559251264544,0.005319439580937904
1002,mean_hv_auc46,0.08118300518319325,0.08887347695560666,0.09075291064294568,0.007690471772413401,-0.0018794336873390188
1002,covered_problems,33,34,33,1,1
1002,hv_win_count,17,14,3,-3,11
1003,mean_hv,0.10209252469988873,0.10046447129258329,0.0998540781332192,-0.0016280534073054437,0.0006103931593640921
1003,mean_hv_auc46,0.08720995446630905,0.08703160620988222,0.0902954000484924,-0.00017834825642683294,-0.0032637938386101822
1003,covered_problems,33,33,35,0,-2
1003,hv_win_count,14,10,11,-4,-1
1004,mean_hv,0.10355517115213521,0.11225216077347624,0.10100818322780135,0.008696989621341036,0.011243977545674896
1004,mean_hv_auc46,0.08902659534975528,0.09378930425421667,0.08642518120018447,0.004762708904461385,0.007364123054032196
1004,covered_problems,32,33,33,1,0
1004,hv_win_count,13,12,8,-1,4
1005,mean_hv,0.10440416075171141,0.09376006393088651,0.09606332565896798,-0.0106440968208249,-0.002303261728081471
1005,mean_hv_auc46,0.08694026972431247,0.07856463352989197,0.08612546737079319,-0.0083756361944205,-0.007560833840901213
1005,covered_problems,33,33,33,0,0
1005,hv_win_count,17,10,7,-7,3
