backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic,RTLLM,Prob001_accu,3,11,1,0.0,0,-0.17801047120418848,0.43803418803418803,0.17241379310344826,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob001_accu
S07_capacity3,RTLLM,Prob001_accu,3,10,3,0.0,0,-0.2670157068062827,0.420940170940171,0.1551724137931034,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob001_accu
smooth_qd_v2,RTLLM,Prob001_accu,3,9,2,0.0,0,-0.2670157068062827,0.420940170940171,0.1551724137931034,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic,RTLLM,Prob002_adder_16bit,2,11,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
S07_capacity3,RTLLM,Prob002_adder_16bit,2,9,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
smooth_qd_v2,RTLLM,Prob002_adder_16bit,2,6,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic,RTLLM,Prob003_adder_32bit,2,18,1,0.6744597525026996,18,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
S07_capacity3,RTLLM,Prob003_adder_32bit,2,17,1,0.6744597525026996,17,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
smooth_qd_v2,RTLLM,Prob003_adder_32bit,2,17,1,0.6744597525026996,16,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
S07_capacity3,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
smooth_qd_v2,RTLLM,Prob004_adder_8bit,2,5,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
classic,RTLLM,Prob005_adder_bcd,2,15,1,0.19818984547461369,10,0.2,0.9909492273730683,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
S07_capacity3,RTLLM,Prob005_adder_bcd,2,8,1,0.19818984547461369,6,0.2,0.9909492273730683,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
smooth_qd_v2,RTLLM,Prob005_adder_bcd,2,9,1,0.19818984547461369,7,0.2,0.9909492273730683,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
classic,RTLLM,Prob007_comparator_3bit,2,18,1,0.058316843556994666,2,0.058823529411764705,0.9913863404689093,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
S07_capacity3,RTLLM,Prob007_comparator_3bit,2,13,1,0.058316843556994666,2,0.058823529411764705,0.9913863404689093,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
smooth_qd_v2,RTLLM,Prob007_comparator_3bit,2,14,1,0.05831864244168616,3,0.058823529411764705,0.9914169215086647,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
classic,RTLLM,Prob008_comparator_4bit,2,12,1,0.33125,10,0.3333333333333333,0.99375,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
S07_capacity3,RTLLM,Prob008_comparator_4bit,2,18,1,0.36161818181818184,16,0.36363636363636365,0.9944500000000001,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
smooth_qd_v2,RTLLM,Prob008_comparator_4bit,2,19,1,0.36161818181818184,14,0.36363636363636365,0.9944500000000001,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
classic,RTLLM,Prob009_div_16bit,2,24,3,0.7137786124152322,24,0.7723004694835681,0.9251428571428572,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
S07_capacity3,RTLLM,Prob009_div_16bit,2,23,6,0.7011756464714209,23,0.7632237871674491,0.9196190476190476,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
smooth_qd_v2,RTLLM,Prob009_div_16bit,2,25,6,0.7159680453088904,25,0.77339593114241,0.928952380952381,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
classic,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
S07_capacity3,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
smooth_qd_v2,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
classic,RTLLM,Prob011_multi_16bit,3,7,5,0.0,0,0.07518796992481203,0.3833333333333333,0.43965517241379304,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
S07_capacity3,RTLLM,Prob011_multi_16bit,3,26,6,0.0016591406677613546,6,0.07236842105263158,0.5572222222222223,0.44827586206896547,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
smooth_qd_v2,RTLLM,Prob011_multi_16bit,3,14,1,0.019579300262149622,6,0.08552631578947369,0.5311111111111111,0.4310344827586206,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
classic,RTLLM,Prob012_multi_8bit,2,5,1,0.3865685457602981,4,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
S07_capacity3,RTLLM,Prob012_multi_8bit,2,6,1,0.3865685457602981,5,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
smooth_qd_v2,RTLLM,Prob012_multi_8bit,2,3,1,0.3865685457602981,2,0.38926174496644295,0.9930812641083521,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
classic,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
S07_capacity3,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
smooth_qd_v2,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/workspace/exp/natural_qd_push/p3_v2_full_rtllm_20260703_101258_UTC/live/smooth_qd_v2_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
classic,RTLLM,Prob015_multi_pipe_8bit,3,11,3,0.0,0,0.4714285714285714,0.026726057906458787,0.28048780487804886,/workspace/exp/useful_bd_push/pcn_v3_experiments_20260701/live/rtllm_full_5seed/classic_revolution_8x5/seed_1004/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
S07_capacity3,RTLLM,Prob015_multi_pipe_8bit,3,11,1,0.11102605092229735,1,0.3846938775510204,0.34298440979955463,0.8414634146341463,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_225719_UTC/live/capacity3/seed_1004/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
