backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
S07_capacity3,RTLLM,Prob001_accu,sequential,1,b504455b-9017-4e2e-8278-5506bf959a48,M-I,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample7_M-I,
S07_capacity3,RTLLM,Prob002_adder_16bit,combinational,0,d0775548-0cb8-4afd-afde-5f23bd10af48,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample3_initial,
S07_capacity3,RTLLM,Prob003_adder_32bit,combinational,0,782c852b-4023-4528-977d-4371d4dda7e4,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample4_initial,
S07_capacity3,RTLLM,Prob004_adder_8bit,combinational,1,a013d7aa-0e7f-43a2-abac-cf33efb2431c,M-S,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_M-S,
S07_capacity3,RTLLM,Prob005_adder_bcd,combinational,0,1c169c6a-b2e5-4eda-9c36-0423530bdff0,initial,generation_log,0.396983075791,0.595474613687,36,4.1e-05,0,45,0.00453,0,0.2,0.990949227373,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample3_initial,
S07_capacity3,RTLLM,Prob007_comparator_3bit,combinational,1,a2c282af-41bd-4e1a-afe0-371549eaca95,M-R,generation_log,0.350069956627,0.52510493494,16,8.45e-06,0,17,0.000981,0,0.0588235294118,0.991386340469,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen1/Prob007_comparator_3bit_sample5_M-R,
S07_capacity3,RTLLM,Prob008_comparator_4bit,combinational,2,3d80dbb4-a032-46e0-9730-49da103ab154,C-F,generation_log,0.452695454545,0.679043181818,21,1.11e-05,0,33,0.002,0,0.363636363636,0.99445,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit/Gen2/Prob008_comparator_4bit_sample2_C-F,
S07_capacity3,RTLLM,Prob009_div_16bit,combinational,5,98a35820-5d9b-4a8c-90f0-92e8a56d8e96,C-F,generation_log,0.558793650794,0.83819047619,1491,0.0948,0,6390,1.05,0,0.766666666667,0.909714285714,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit/Gen5/Prob009_div_16bit_sample4_C-F,
S07_capacity3,RTLLM,Prob011_multi_16bit,sequential,5,a2a98249-1a98-4100-a4c6-cbbac05c9fa2,M-S,generation_log,0.356784249897,0.356784249897,974,0.0817,0.65,1064,0.18,1.16,0.0845864661654,0.546111111111,0.439655172414,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit/Gen5/Prob011_multi_16bit_sample3_M-S,
S07_capacity3,RTLLM,Prob012_multi_8bit,combinational,1,37abc536-ae2d-4419-b3c6-a72d67425789,M-S,generation_log,0.460781003025,0.691171504537,364,0.000613,0,596,0.0886,0,0.389261744966,0.993081264108,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260710_002626_UTC/live/capacity3/seed_1005/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit/Gen1/Prob012_multi_8bit_sample4_M-S,
