backend,problem,circuit_type,hv_final,hv_auc
S23_journal_logic_width_2d,Prob001_accu,sequential,0,0
S23_journal_logic_width_2d,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
S23_journal_logic_width_2d,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
S23_journal_logic_width_2d,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
S23_journal_logic_width_2d,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
S23_journal_logic_width_2d,Prob007_comparator_3bit,combinational,0,0
S23_journal_logic_width_2d,Prob008_comparator_4bit,combinational,0.361618181818,0.352510909091
S23_journal_logic_width_2d,Prob009_div_16bit,combinational,0.710199329309,0.696723927267
S23_journal_logic_width_2d,Prob011_multi_16bit,sequential,0.00139726111255,0.000698630556277
S23_journal_logic_width_2d,Prob012_multi_8bit,combinational,0.38656854576,0.347911691184
S23_journal_logic_width_2d,Prob015_multi_pipe_8bit,sequential,0,0
S23_journal_logic_width_2d,Prob019_sub_64bit,combinational,0,0
S23_journal_logic_width_2d,Prob020_JC_counter,sequential,0,0
S23_journal_logic_width_2d,Prob021_counter_12,sequential,0,0
S23_journal_logic_width_2d,Prob023_up_down_counter,sequential,0,0
S23_journal_logic_width_2d,Prob024_fsm,combinational,0.144948389115,0.103872380357
S23_journal_logic_width_2d,Prob025_sequence_detector,sequential,0,0
S23_journal_logic_width_2d,Prob027_LIFObuffer,sequential,0.00870044140771,0.0031585201595
S23_journal_logic_width_2d,Prob030_right_shifter,sequential,0,0
S23_journal_logic_width_2d,Prob031_freq_div,combinational,0.0471177347242,0.0325245901639
S23_journal_logic_width_2d,Prob035_calendar,sequential,0,0
S23_journal_logic_width_2d,Prob036_edge_detect,sequential,0.355889724311,0.32030075188
S23_journal_logic_width_2d,Prob037_parallel2serial,sequential,0.000206033848418,0.000144223693892
S23_journal_logic_width_2d,Prob041_traffic_light,combinational,0.302747276689,0.210173602034
S23_journal_logic_width_2d,Prob043_RAM,sequential,0.0985518828024,0.0626048772149
S23_journal_logic_width_2d,Prob044_ROM,combinational,0,0
S23_journal_logic_width_2d,Prob045_alu,combinational,0.203241348315,0.168047906958
S23_journal_logic_width_2d,Prob047_instr_reg,sequential,0,0
S23_journal_logic_width_2d,Prob048_pe,sequential,0,0
S23_journal_logic_width_2d,Prob049_signal_generator,sequential,0.0315477634728,0.0211966005761
S23_journal_logic_width_2d,Prob050_square_wave,sequential,0.00100274501448,0.000701921510135
classic,Prob001_accu,sequential,0,0
classic,Prob002_adder_16bit,combinational,0.0645942952091,0.0645942952091
classic,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
classic,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
