scope,metric,seed,value,source_table,run_root
screen_8x5,mean_hv,1001,0.14064478405974706,../../20260622_010615_KST_useful_bd_push/preliminary_planning/20260625_encoder_config_screening/tables/live_screen_aggregate_pareto_metrics.csv,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001
screen_8x5,mean_pareto_point_count,1001,3.25,../../20260622_010615_KST_useful_bd_push/preliminary_planning/20260625_encoder_config_screening/tables/live_screen_aggregate_pareto_metrics.csv,exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001
screen_8x5,mean_hv,1002,0.15936940200276137,../../20260622_010615_KST_useful_bd_push/preliminary_planning/20260625_aux_archive_seed_replication_gate/tables/seed_pair_metrics.csv,exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002
screen_8x5,mean_hv,1003,0.13253100841854415,../../20260622_010615_KST_useful_bd_push/preliminary_planning/20260625_aux_archive_seed_replication_gate/tables/seed_pair_metrics.csv,exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003
screen_8x5,mean_hv_3seed,1001-1003,0.14418173149368419,derived_mean_of_seed_rows,see_seed_rows
depth_6x7,mean_hv,1001,0.1701,../../20260622_010615_KST_useful_bd_push/technique_lineage_ledger.md,exp/useful_bd_push/prelim_aux_archive_high_exploit_depth (classic 6x7 arm; verify in P0 recompute)
rtllm_full_46,mean_hv,1001,0.0997,../../20260622_010615_KST_useful_bd_push/RTLLM_full_suite/20260630/tables/full_suite_method_summary.csv,see_method_summary_command_path
rtllm_full_46,mean_hv_auc,1001,0.0899,../../20260622_010615_KST_useful_bd_push/RTLLM_full_suite/20260630/tables/full_suite_method_summary.csv,see_method_summary_command_path
rtllm_full_46,mean_hv,1001-1005,0.10380,../../20260622_010615_KST_useful_bd_push/qd_evaluaton_exp/20260701_1155_PCN_v3_experiments/tables/rtllm_full_5seed_overall_method_summary.csv,see_pcn_package_method_configs
rtllm_full_46,mean_hv_auc,1001-1005,0.08680,../../20260622_010615_KST_useful_bd_push/qd_evaluaton_exp/20260701_1155_PCN_v3_experiments/tables/rtllm_full_5seed_overall_method_summary.csv,see_pcn_package_method_configs
rtllm_full_46_no_cf,mean_hv,1001-1005,0.10685,../../20260622_010615_KST_useful_bd_push/qd_evaluaton_exp/20260701_1155_PCN_v3_experiments/tables/rtllm_full_5seed_overall_method_summary.csv,see_pcn_package_method_configs
rtllm_full_46_no_cf,mean_hv_auc,1001-1005,0.09459,../../20260622_010615_KST_useful_bd_push/qd_evaluaton_exp/20260701_1155_PCN_v3_experiments/tables/rtllm_full_5seed_overall_method_summary.csv,see_pcn_package_method_configs
