metric,omitted_seed,retained_unit_count,mean_delta
unconditional_valid_ppa_repair_rate_all_50,1001,50,0.0012499999999999998
unconditional_valid_ppa_repair_rate_all_50,1002,50,0.0020833333333333333
final_hypervolume,1001,46,0.0034126551638655454
final_hypervolume,1002,46,0.009942764959066801
hypervolume_auc,1001,46,0.0019890807235375322
hypervolume_auc,1002,46,0.007007331213044503
rtl_simulation_functionality_50,1001,50,0.0
rtl_simulation_functionality_50,1002,50,-0.02
rtl_simulation_functionality_46,1001,46,0.0
rtl_simulation_functionality_46,1002,46,-0.021739130434782608
verification_complete_valid_ppa,1001,46,0.021739130434782608
verification_complete_valid_ppa,1002,46,-0.043478260869565216
valid_ppa_sample_yield,1001,46,0.013586956521739134
valid_ppa_sample_yield,1002,46,0.006340579710144928
best_normalized_ppa,1001,32,0.00977995482045687
best_normalized_ppa,1002,34,-0.035435026726978694
