seed,problem,generation,pre_selection_fail_pool_size,pre_selection_success_pool_size,post_selection_fail_pool_size,post_selection_success_pool_size,generation_outcome
1001,Prob001_accu,1,0,8,0,8,completed
1001,Prob001_accu,2,0,8,0,8,completed
1001,Prob001_accu,3,0,8,0,8,completed
1001,Prob001_accu,4,0,8,0,8,completed
1001,Prob001_accu,5,0,8,0,8,completed
1001,Prob002_adder_16bit,1,0,8,0,8,completed
1001,Prob002_adder_16bit,2,0,8,0,8,completed
1001,Prob002_adder_16bit,3,0,8,0,8,completed
1001,Prob002_adder_16bit,4,0,8,0,8,completed
1001,Prob002_adder_16bit,5,0,8,0,8,completed
1001,Prob003_adder_32bit,1,0,8,0,8,completed
1001,Prob003_adder_32bit,2,0,8,0,8,completed
1001,Prob003_adder_32bit,3,0,8,0,8,completed
1001,Prob003_adder_32bit,4,0,8,0,8,completed
1001,Prob003_adder_32bit,5,0,8,0,8,completed
1001,Prob004_adder_8bit,1,8,0,1,7,completed
1001,Prob004_adder_8bit,2,1,7,0,8,completed
1001,Prob004_adder_8bit,3,0,8,0,8,completed
1001,Prob004_adder_8bit,4,0,8,0,8,completed
1001,Prob004_adder_8bit,5,0,8,0,8,completed
1001,Prob005_adder_bcd,1,0,8,0,8,completed
1001,Prob005_adder_bcd,2,0,8,0,8,completed
1001,Prob005_adder_bcd,3,0,8,0,8,completed
1001,Prob005_adder_bcd,4,0,8,0,8,completed
1001,Prob005_adder_bcd,5,0,8,0,8,completed
1001,Prob006_adder_pipe_64bit,1,8,0,8,0,completed
1001,Prob006_adder_pipe_64bit,2,8,0,8,0,completed
1001,Prob006_adder_pipe_64bit,3,8,0,8,0,completed
1001,Prob006_adder_pipe_64bit,4,8,0,8,0,completed
1001,Prob006_adder_pipe_64bit,5,8,0,8,0,completed
1001,Prob007_comparator_3bit,1,0,8,0,8,completed
1001,Prob007_comparator_3bit,2,0,8,0,8,completed
1001,Prob007_comparator_3bit,3,0,8,0,8,completed
1001,Prob007_comparator_3bit,4,0,8,0,8,completed
1001,Prob007_comparator_3bit,5,0,8,0,8,completed
1001,Prob008_comparator_4bit,1,1,7,0,8,completed
1001,Prob008_comparator_4bit,2,0,8,0,8,completed
1001,Prob008_comparator_4bit,3,0,8,0,8,completed
1001,Prob008_comparator_4bit,4,0,8,0,8,completed
1001,Prob008_comparator_4bit,5,0,8,0,8,completed
1001,Prob009_div_16bit,1,3,5,0,8,completed
1001,Prob009_div_16bit,2,0,8,0,8,completed
1001,Prob009_div_16bit,3,0,8,0,8,completed
1001,Prob009_div_16bit,4,0,8,0,8,completed
1001,Prob009_div_16bit,5,0,8,0,8,completed
1001,Prob010_radix2_div,1,8,0,8,0,completed
1001,Prob010_radix2_div,2,8,0,8,0,completed
1001,Prob010_radix2_div,3,8,0,8,0,completed
1001,Prob010_radix2_div,4,8,0,8,0,completed
1001,Prob010_radix2_div,5,8,0,8,0,completed
1001,Prob011_multi_16bit,1,0,8,0,8,completed
1001,Prob011_multi_16bit,2,0,8,0,8,completed
1001,Prob011_multi_16bit,3,0,8,0,8,completed
1001,Prob011_multi_16bit,4,0,8,0,8,completed
1001,Prob011_multi_16bit,5,0,8,0,8,completed
1001,Prob012_multi_8bit,1,0,8,0,8,completed
1001,Prob012_multi_8bit,2,0,8,0,8,completed
1001,Prob012_multi_8bit,3,0,8,0,8,completed
1001,Prob012_multi_8bit,4,0,8,0,8,completed
1001,Prob012_multi_8bit,5,0,8,0,8,completed
1001,Prob013_multi_booth_8bit,1,8,0,7,1,completed
1001,Prob013_multi_booth_8bit,2,7,1,7,1,completed
1001,Prob013_multi_booth_8bit,3,7,1,4,4,completed
1001,Prob013_multi_booth_8bit,4,4,4,3,5,completed
1001,Prob013_multi_booth_8bit,5,3,5,2,6,completed
1001,Prob014_multi_pipe_4bit,1,8,0,8,0,completed
1001,Prob014_multi_pipe_4bit,2,8,0,8,0,completed
1001,Prob014_multi_pipe_4bit,3,8,0,8,0,completed
1001,Prob014_multi_pipe_4bit,4,8,0,8,0,completed
1001,Prob014_multi_pipe_4bit,5,8,0,8,0,completed
1001,Prob015_multi_pipe_8bit,1,7,1,5,3,completed
1001,Prob015_multi_pipe_8bit,2,5,3,2,6,completed
1001,Prob015_multi_pipe_8bit,3,2,6,0,8,completed
1001,Prob015_multi_pipe_8bit,4,0,8,0,8,completed
1001,Prob015_multi_pipe_8bit,5,0,8,0,8,completed
