metric,omitted_seed,retained_unit_count,mean_delta
unconditional_valid_ppa_repair_rate,1001,8,0.002604166666666668
unconditional_valid_ppa_repair_rate,1002,8,0.0078125
final_hypervolume,1001,8,0.005244842853699449
final_hypervolume,1002,8,-0.008128925078700248
hypervolume_auc,1001,8,0.018007692133155003
hypervolume_auc,1002,8,-0.0027082939814849997
rtl_simulation_functionality,1001,8,0.0
rtl_simulation_functionality,1002,8,0.0
verification_complete_valid_ppa,1001,8,0.0
verification_complete_valid_ppa,1002,8,0.0
valid_ppa_sample_yield,1001,8,0.007812500000000019
valid_ppa_sample_yield,1002,8,0.05208333333333335
best_normalized_ppa,1001,8,-0.029197098647227533
best_normalized_ppa,1002,8,0.006165292043287057
