run,status,contract_class,candidate_count,status_fraction
1001,success,compliant,1020,0.99706744868
1001,success,mismatch,3,0.00293255131965
1001,success,undefined,0,0
1001,failed_format,compliant,2,0.666666666667
1001,failed_format,mismatch,1,0.333333333333
1001,failed_format,undefined,0,0
1001,failed_syntax,compliant,252,0.530526315789
1001,failed_syntax,mismatch,223,0.469473684211
1001,failed_syntax,undefined,0,0
1001,failed_functionality,compliant,552,0.803493449782
1001,failed_functionality,mismatch,135,0.196506550218
1001,failed_functionality,undefined,0,0
1001,failed_synthesis,compliant,0,0
1001,failed_synthesis,mismatch,0,0
1001,failed_synthesis,undefined,3,1
1001,failed_synthesis_functionality,compliant,0,0
1001,failed_synthesis_functionality,mismatch,0,0
1001,failed_synthesis_functionality,undefined,209,1
1002,success,compliant,1043,0.999042145594
1002,success,mismatch,1,0.00095785440613
1002,success,undefined,0,0
1002,failed_syntax,compliant,258,0.572062084257
1002,failed_syntax,mismatch,193,0.427937915743
1002,failed_syntax,undefined,0,0
1002,failed_functionality,compliant,558,0.805194805195
1002,failed_functionality,mismatch,135,0.194805194805
1002,failed_functionality,undefined,0,0
1002,failed_synthesis,compliant,0,0
1002,failed_synthesis,mismatch,0,0
1002,failed_synthesis,undefined,2,1
1002,failed_synthesis_functionality,compliant,0,0
1002,failed_synthesis_functionality,mismatch,0,0
1002,failed_synthesis_functionality,undefined,210,1
