model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
llama3_baseline_clean_results,RTLLM,0.3116,0.3116,0.7000,0.7000,15.8716,37.2855,2.3689,386.0894
llama3_baseline_clean_results,RTLLM/Prob001_accu,0.1168,0.1168,1.0000,1.0000,6.81,26.50,-6.90,218.35
llama3_baseline_clean_results,RTLLM/Prob002_adder_16bit,0.5075,0.5075,1.0000,1.0000,20.65,99.32,N/A,282.42
llama3_baseline_clean_results,RTLLM/Prob003_adder_32bit,0.1005,0.1005,1.0000,1.0000,67.61,99.75,N/A,406.82
llama3_baseline_clean_results,RTLLM/Prob004_adder_8bit,0.0101,0.0101,1.0000,1.0000,N/A,N/A,N/A,125.90
llama3_baseline_clean_results,RTLLM/Prob005_adder_bcd,0.3400,0.3400,1.0000,1.0000,N/A,N/A,N/A,171.42
llama3_baseline_clean_results,RTLLM/Prob006_adder_pipe_64bit,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,365.88
llama3_baseline_clean_results,RTLLM/Prob007_comparator_3bit,0.6700,0.6700,1.0000,1.0000,N/A,N/A,N/A,294.71
llama3_baseline_clean_results,RTLLM/Prob008_comparator_4bit,0.3900,0.3900,1.0000,1.0000,N/A,N/A,N/A,1020.96
llama3_baseline_clean_results,RTLLM/Prob009_div_16bit,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,210.46
llama3_baseline_clean_results,RTLLM/Prob010_radix2_div,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,169.04
llama3_baseline_clean_results,RTLLM/Prob011_multi_16bit,0.4800,0.4800,1.0000,1.0000,-6.20,45.50,7.76,349.95
llama3_baseline_clean_results,RTLLM/Prob012_multi_8bit,0.2950,0.2950,1.0000,1.0000,38.93,56.43,N/A,173.02
llama3_baseline_clean_results,RTLLM/Prob013_multi_booth_8bit,0.4550,0.4550,1.0000,1.0000,N/A,N/A,N/A,2868.60
llama3_baseline_clean_results,RTLLM/Prob014_multi_pipe_4bit,0.0600,0.0600,1.0000,1.0000,N/A,N/A,N/A,157.88
llama3_baseline_clean_results,RTLLM/Prob015_multi_pipe_8bit,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,922.14
llama3_baseline_clean_results,RTLLM/Prob016_fixed_point_adder,0.4650,0.4650,1.0000,1.0000,N/A,N/A,N/A,222.68
llama3_baseline_clean_results,RTLLM/Prob017_fixed_point_substractor,0.3650,0.3650,1.0000,1.0000,N/A,N/A,N/A,251.09
llama3_baseline_clean_results,RTLLM/Prob018_float_multi,0.0050,0.0050,1.0000,1.0000,N/A,N/A,N/A,291.77
