model,benchmark_name,init_func_pass_rate,final_func_pass_rate,init_func_any_pass_rate,final_func_any_pass_rate,area_improvement_percentage_compared_to_ref,power_improvement_percentage_compared_to_ref,eff_clk_improvement_percentage_compared_to_ref,avg_runtime_seconds
llama3_clean_results,RTLLM,0.3360,0.4147,0.6000,0.8400,28.6971,67.0151,13.2231,1605.0061
llama3_clean_results,RTLLM/Prob001_accu,0.1000,0.2762,1.0000,1.0000,12.57,50.43,17.24,1227.80
llama3_clean_results,RTLLM/Prob002_adder_16bit,0.7000,0.6667,1.0000,1.0000,20.65,99.32,N/A,1660.86
llama3_clean_results,RTLLM/Prob003_adder_32bit,0.4000,0.6381,1.0000,1.0000,67.61,99.75,N/A,2106.38
llama3_clean_results,RTLLM/Prob004_adder_8bit,0.1000,0.4714,1.0000,1.0000,N/A,N/A,N/A,1482.54
llama3_clean_results,RTLLM/Prob005_adder_bcd,0.3000,0.5571,1.0000,1.0000,N/A,N/A,N/A,1309.25
llama3_clean_results,RTLLM/Prob006_adder_pipe_64bit,0.0000,0.0095,0.0000,1.0000,N/A,N/A,N/A,1886.53
llama3_clean_results,RTLLM/Prob007_comparator_3bit,0.9000,0.8619,1.0000,1.0000,N/A,N/A,N/A,1433.20
llama3_clean_results,RTLLM/Prob008_comparator_4bit,0.5000,0.7619,1.0000,1.0000,N/A,N/A,N/A,1528.77
llama3_clean_results,RTLLM/Prob009_div_16bit,0.0000,0.0714,0.0000,1.0000,77.57,78.67,N/A,1792.07
llama3_clean_results,RTLLM/Prob010_radix2_div,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1381.39
llama3_clean_results,RTLLM/Prob011_multi_16bit,0.8000,0.5429,1.0000,1.0000,18.80,75.28,12.93,1719.42
llama3_clean_results,RTLLM/Prob012_multi_8bit,0.5000,0.5714,1.0000,1.0000,38.93,56.43,N/A,1381.63
llama3_clean_results,RTLLM/Prob013_multi_booth_8bit,0.4000,0.4333,1.0000,1.0000,N/A,N/A,N/A,3249.88
llama3_clean_results,RTLLM/Prob014_multi_pipe_4bit,0.1000,0.2333,1.0000,1.0000,N/A,N/A,N/A,1551.70
llama3_clean_results,RTLLM/Prob015_multi_pipe_8bit,0.0000,0.0190,0.0000,1.0000,1.73,21.60,-215.85,2422.53
llama3_clean_results,RTLLM/Prob016_fixed_point_adder,0.4000,0.8000,1.0000,1.0000,N/A,N/A,N/A,1489.74
llama3_clean_results,RTLLM/Prob017_fixed_point_substractor,0.4000,0.7238,1.0000,1.0000,N/A,N/A,N/A,1419.95
llama3_clean_results,RTLLM/Prob018_float_multi,0.0000,0.0190,0.0000,1.0000,N/A,N/A,N/A,2052.05
llama3_clean_results,RTLLM/Prob019_sub_64bit,0.8000,0.8762,1.0000,1.0000,-33.66,98.40,N/A,1413.22
llama3_clean_results,RTLLM/Prob020_JC_counter,0.9000,0.7381,1.0000,1.0000,0.00,0.00,0.00,1434.93
llama3_clean_results,RTLLM/Prob021_counter_12,0.5000,0.7810,1.0000,1.0000,N/A,N/A,N/A,1344.58
llama3_clean_results,RTLLM/Prob022_ring_counter,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1233.91
llama3_clean_results,RTLLM/Prob023_up_down_counter,1.0000,0.7857,1.0000,1.0000,20.85,99.25,100.00,1398.12
llama3_clean_results,RTLLM/Prob024_fsm,0.0000,0.0714,0.0000,1.0000,N/A,N/A,N/A,1329.35
llama3_clean_results,RTLLM/Prob025_sequence_detector,0.0000,0.1048,0.0000,1.0000,N/A,N/A,N/A,1213.82
llama3_clean_results,RTLLM/Prob026_asyn_fifo,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1758.58
llama3_clean_results,RTLLM/Prob027_LIFObuffer,0.0000,0.2905,0.0000,1.0000,13.04,74.94,-5.13,1463.03
llama3_clean_results,RTLLM/Prob028_LFSR,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1053.32
llama3_clean_results,RTLLM/Prob029_barrel_shifter,0.0000,0.1476,0.0000,1.0000,N/A,N/A,N/A,1568.05
llama3_clean_results,RTLLM/Prob030_right_shifter,0.7000,0.8190,1.0000,1.0000,N/A,N/A,N/A,1268.62
llama3_clean_results,RTLLM/Prob031_freq_div,0.1000,0.2619,1.0000,1.0000,N/A,N/A,N/A,1481.90
llama3_clean_results,RTLLM/Prob032_freq_divbyeven,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1033.07
llama3_clean_results,RTLLM/Prob033_freq_divbyfrac,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1448.13
llama3_clean_results,RTLLM/Prob034_freq_divbyodd,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1303.65
